TLM International Inc.,,,,,,,
Inventory Availability,,,,,,,
  ,,,,,,,
Part,Description,"On
Hand",Allocated,Available,"Available
to Pick","On
Order",Committed
96638CB-BK,LED human-body sensor switch,0,0,0,0,0,0
96663D-WT,"LED touch dimmer switch, WT",0,0,0,0,0,0
96666PDS-BK,LED wireless human-body infrared sensor,0,0,0,0,0,0
96668DS-BK,LED wireless touch switch,0,0,0,0,0,0
96675S-BK,LED wireless door-control hand-scan sensor,0,0,0,0,0,0
96677P-BK,LED human-body sensor (with light sensor),0,0,0,0,0,0
96678D-GR,"LED touch dimmer switch, GR",0,0,0,0,0,0
96686DS-TG,"LED wireless emitter of remote control switch & dimmer (3V/620mAh/CR2450, 10M wireless control distance)",0,0,0,0,50,0
96686PDS-BK,"LED Wireless PIR Sensor, Switch & Dimmer, 12/24V DC, Black",0,0,0,0,0,0
966WR-5A-BK,LED wireless receiver,0,0,0,0,0,0
966WR-5A-U-BK,"RF wireless receiver, DC 12V / DC 24V, 5A, Built-in 6-Way Sockets, 1M 20# Black cable with 91505-MP",0,0,0,0,50,0
968-FP2021,Face Plate for GEN30 Classic Heater - SCI,"2,109",0,"2,109","2,109",0,0
968-RMT2021,Remote for GEN30 Classic Heater - SCI,"1,500",0,"1,500","1,500",0,0
968H-FP2021,Face Plate for GEN30 Hybrid Heater w/ Humidifier - SCI,0,0,0,0,0,0
968H-RMT2021,Remote for GEN30 Hybrid Heater w/ Humidifier - SCI,0,0,0,0,0,0
978-LABEL2021,Label for classic 2021 Heater DR-978 - SCI,"2,550",0,"2,550","2,550",0,0
978-RMT2021,Remote for classic 2021 Heater DR-978 - SCI,"2,550",0,"2,550","2,550",0,0
AMZ-12FAN,"24V Workstation Fan, 12"" with Fan Controller",204,80,124,124,729,80
AMZ-12FC,24V Fan Controller,222,40,182,182,729,40
AUPW-2000,Power Cord replacement (with Plug) for DR-123,0,0,0,0,"2,238",0
BC-618,BC-618 Back2Crawl Horizontal Crawling Exerciser - Professional Series,0,0,0,0,0,0
CABASE-EV150CM-B,"Electric Cargo Tricycle, 1.5 Meters Medium Size, Dark Blue",0,0,0,0,0,0
Copy of WH-MT968,"Maztang MT968 18 inch 13.5 Amps Electric Snow Blower,",0,0,0,0,0,0
Costco CRX,TLM INTERNATIONAL INC Costco US-SMALL VENDOR-PREMIUM,0,0,0,0,0,0
DR-001,DR-001 Direct Load Wall thermostat,"3,893",0,"3,893","3,893",0,0
DR-003,Dr Infrared Heater Glass Adhesive Tape and Warning labels,500,0,500,500,0,0
DR-005,Dr Infrared Heater Installation Monitor Electric Floor Heating Cable,61,0,61,61,0,0
DR-006-1P,Dr. Heater Roof Clips (1 pcs),"1,580",0,0,0,0,0
DR-007,Dr Infrared Heater Hanger Bracket,296,0,296,296,0,0
DR-008,Dr Infrared Heater WIFI Thermostat For Electric Radiant Floor Heating,102,0,102,102,0,0
DR-009,"Heated Rubber Snow Melting Mat 300W, 23x40 Inches, Mat Only",162,0,162,162,50,0
DR-100,10-Feet GFCI Power Cord For DR-009,102,0,102,102,0,0
DR-1000,"Infrared Heater with HEPA air filter and air purifier, wooden box",7,0,7,7,0,0
DR-1001,Freestanding Infrared Indoor/Outdoor Portable Heater,"2,788",0,"2,788","2,788",0,0
DR-101,"DR-101 Heated Rubber Snow melting mat 300W, 23x40 inches with 10Ft GFCI cable",235,0,235,235,0,0
DR-1100HP,"DR-1100HP Full DC Inverter Pool Heat Pump, 110K BTU",76,0,76,76,0,0
DR-122,Bedbug Heater,436,0,436,436,"1,000",0
DR-122X4,Bed bug heater - Large,168,0,166,166,1,0
DR-123,"DR-123 Indoor Portable Space Heater with Remote Control, 1500W","1,108",0,"1,106","1,106","2,331",0
DR-1400HP,"DR-1400HP Full DC Inverter Pool Heat Pump, 140K BTU",66,1,65,66,0,0
DR-211,"Tripod for DR-338, DR-368","1,317",0,"1,317","1,317",0,0
DR-218-1500W,"DR218-1500W Greenhouse Garage Workshop Heater, 1500W",542,560,0,542,"1,500",0
DR-218-3000W,"DR218-3000W Greenhouse Garage Workshop Heater, 3000W",643,0,643,643,500,0
DR-222,"DR-222 Patio Heater, 1500W, Black",63,0,63,63,0,0
DR-233,"DR-233 Patio Heater, 1500W, Black",1,0,1,1,0,0
DR-238,"Dr. Infrared Heater DR-238 carbon infrared patio heater, 1500W","4,730","5,766",0,"4,728","7,086",0
DR-238EU,"DR-238EU Carbon Infrared Heater , 3000-Watt  (only for EU Market)",739,0,739,739,0,0
DR-238S,"Dr Infrared Heater DR-238S Carbon Infrared Patio Heater, 1500W, Silver",351,0,350,350,0,0
DR-238UK,"DR-238UK Carbon Infrared Heater , 2500-Watt  (only for UK Market)",450,0,450,450,0,0
DR-239,"DR-239 Infrared Carbon Patio Heater, 3000-Watt",471,161,310,471,"1,920",0
DR-268,Dr Infrared Heater DR-268 Smart Greenhouse Heater,753,511,142,653,"3,375",0
DR-288,Dr. Infrared Heater 1500W carbon infrared heater,0,0,0,0,0,0
DR-298,"Dr. Infrared Heater Freestanding Infrared Indoor/Outdoor Portable Heater, Remote, Black, 1500W","5,848",0,"5,848","5,848",0,0
DR-338,DR-338 Patio Heater with Tripod,"2,404",0,"1,810","1,810",0,0
DR-368,"DR-368 Indoor Outdoor Infrared Heater with a Tripod, Exclusive for Costco",1,0,1,1,0,0
DR-368E,"DR-368 Indoor Outdoor Infrared Heater with a Tripod, Exclusive for Costco Online",47,0,47,47,0,0
DR-6056,Cover for Edenpure all-season heater,0,0,0,0,0,0
DR-650HP,"DR-650HP Full DC Inverter Pool Heat Pump, 65K BTU",234,0,234,234,0,0
DR-838,DR-838 Family Red Ceramic Space Heater with Adjustable Thermostat,1,0,1,1,0,0
DR-900HP,"DR-900HP Full DC Inverter Pool Heat Pump, 90K BTU",101,0,101,101,0,0
DR-908,"DR-908 Infrared Wall Mount or Portable Space Heater , 1500W , White",973,0,973,973,0,0
DR-908W,"DR-908W Infrared Wall Mount Heater , 1500W , WiFi version",388,0,388,388,0,0
DR-910F,DR-910F 10000-Watt 240-Volt Heavy-Duty Hardwired Shop Garage Heater,245,0,245,245,0,0
DR-910M,DR-910M 10000-Watt 240-Volt Heavy-Duty Hardwired Shop Garage Heater,99,0,99,99,250,0
DR-920,Graphene heater 240V / 6000W,0,0,0,0,0,0
DR-966,"DR. INFRARED HEATER DR-966 240-Volt Hardwired Commercial Heater, 3000W / 6000W",958,0,958,958,810,0
DR-966B,"Dr. Infrared Heater DR-966B 240V Hardwired Shop Garage Commercial Heater, 3000W/6000W, Black",385,0,385,385,0,0
DR-968,DR-968 Dr Heater Original Model,"2,962","29,989",0,"2,957","39,222",4
DR-968H,"DR-968H Infrared Portable Space Heater with Humidifier, 1500W","3,253",0,"3,253","3,252",0,1
DR-975,DR-975 7500-Watt 240-Volt Hardwired Shop Garage Electric Heater,885,0,885,883,"1,620",2
DR-978,DR-978 Dual Heating Hybird Space Heater,"3,099",216,"2,883","2,883","1,500",216
DR-988,DR-988 Portable 5600W Industrial Garage Heater,"1,367",300,"1,067","1,366","2,054",1
DR-988G,"Dr. Infrared Heater DR-988G Industrial Garage Heater, Grey",0,0,0,0,0,0
DR-988Y,"Dr infrared heater DR-988Y, 5600W Garage",0,0,0,0,0,0
DR-991,Dr Infrared Heater DR-991 Portable Electric Infrared Fireplace Space Heater with Humidifier & Remote,225,0,223,223,"1,379",0
DR-998,"DR-998 (Cherry) Space Heater with Humidifier, Elite Series","1,528",537,991,"1,528","4,265",0
DR-998W,DR-998W (Walnut) Heater Elite Series,680,0,680,680,"1,015",0
DR-999,"DR-999 Space Heater with Nightstand Design, 1500W, Cherry",351,0,351,351,0,0
DR-9FH110,"DR-9FH110, 10 Sqft 120V Electric Radiant Floor Heating Cable Kit with WIFI Thermostat and Installation Monitor, App control",75,0,75,75,0,0
DR-9FH1100,"DR-9FH1100, 100 Sqft 120V Electric Radiant Floor Heating Cable Kit with WIFI Thermostat and Installation Monitor, App control",54,0,54,54,0,0
DR-9FH1110,"DR-9FH1110, 110 Sqft 120V Electric Radiant Floor Heating Cable Kit with WIFI Thermostat and Installation Monitor, App control",72,0,71,71,0,0
DR-9FH120,"DR-9FH120, 20 Sqft 120V Electric Radiant Floor Heating Cable Kit with WIFI Thermostat and Installation Monitor, App control",55,0,54,54,0,0
DR-9FH140,"DR-9FH140, 40 Sqft 120V Electric Radiant Floor Heating Cable Kit with WIFI Thermostat and Installation Monitor, App control",22,0,22,22,0,0
DR-9FH150,"DR-9FH150, 50 Sqft 120V Electric Radiant Floor Heating Cable Kit with WIFI Thermostat and Installation Monitor, App control",78,0,78,78,0,0
DR-9FH2120,"DR-9FH2120, 120 Sqft 240V Electric Radiant Floor Heating Cable Kit with WIFI Thermostat and Installation Monitor, App control",81,0,81,81,0,0
DR-9FH2140,"DR-9FH2140, 140 Sqft 240V Electric Radiant Floor Heating Cable Kit with WIFI Thermostat and Installation Monitor, App control",76,0,75,75,0,0
DR-9FH2240,"DR-9FH2240, 240 Sqft 240V Electric Radiant Floor Heating Cable Kit with WIFI Thermostat and Installation Monitor, App control",74,0,74,74,0,0
DR-9FH2300,"DR-9FH22300, 300 Sqft 240V Electric Radiant Floor Heating Cable Kit with WIFI Thermostat and Installation Monitor, App control",69,0,69,69,0,0
